"ZIP","COUNTYNAME","STATE","county_name_norm","dem_votes","rep_votes","dem_pct","rep_pct","dem_lead"
"63133","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63134","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63135","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63136","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63136","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63137","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63137","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63138","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63138","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63139","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63140","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63141","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63143","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63143","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63144","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63146","St. Louis County","MO","stlouiscounty, MO",286704,202434,0.586141334347362,0.413858665652638,0.172282668694724
"63147","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63155","St. Louis city","MO","stlouiscity, MO",104235,20832,0.833433279762048,0.166566720237952,0.666866559524095
"63301","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63303","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63304","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63330","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63332","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63333","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63333","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63334","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63334","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63336","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63339","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63341","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63343","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63343","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63344","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63344","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63345","Audrain County","MO","audraincounty, MO",2570,6981,0.269081771542247,0.730918228457753,-0.461836456915506
"63347","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63348","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63348","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
